UML ID	Group Name	Parent Company	Mill Name	RSPO Certification	Latitude	Longitude	Country	Province	District
PO1000000017	AGROPALMA	AGROPALMA	CPA	Not Certificated	-2.253539	-48.58567	Brazil	Pará	Acará
PO1000000019	KULIM (MALAYSIA) BERHAD	EPA MANAGEMENT SDN BHD	SEDENAK	MB	1.730858	103.538323	Malaysia	Johor	Kulaijaya
PO1000000020	NBPOL	NEW BRITAIN PALM OIL	MOSA	IP	-5.6225	150.23735	Papua New Guinea	West New Britain	Talasea
PO1000000021	ROYAL GOLDEN EAGLE	INTI INDOSAWIT SUBUR	BUATAN I	MB	0.4344444	101.825	Indonesia	Riau	Siak
PO1000000052	IOI CORPORATION	PAMOL ESTATES (SABAH) SDN BHD	PAMOL SABAH	IP	6.002431	117.398389	Malaysia	Sabah	Beluran
PO1000000053	SIPEF	HARGY OIL PALM LTD	HARGY MILL	IP	-5.311111	151.01097	Papua New Guinea	West New Britain	Talasea
PO1000000054	MUSIM MAS	MUSIM MAS HOLDINGS PTE LTD	BATANG KULIM	IP	0.077043	102.030838	Indonesia	Riau	Pelalawan
PO1000000058	CARGILL	HINDOLI	SUNGAI LILIN	IP	-2.612778	104.128242	Indonesia	Sumatera Selatan	Musi Banyuasin
PO1000000063	SIME DARBY	SIME DARBY PLANTATION BHD	BINUANG (SOU 28)	"IP, MB"	4.704457	118.060186	Malaysia	Sabah	Kunak
PO1000000064	SIME DARBY	SIME DARBY PLANTATION BHD	MEROTAI (SOU 30)	MB	4.369347	117.832905	Malaysia	Sabah	Tawau
PO1000000065	SIME DARBY	SIME DARBY PLANTATION BHD	SANDAKAN BAY (SOU 26)	"IP, MB"	5.641362	118.166868	Malaysia	Sabah	Sandakan
PO1000000066	WILMAR GROUP	SABAHMAS PLANTATION SDN BHD	SABAHMAS	MB	5.179162	118.405246	Malaysia	Sabah	Lahad Datu
PO1000000091	WILMAR GROUP	SAREMAS SDN BHD	SAREMAS 1	MB	3.524921	113.744412	Malaysia	Sarawak	Miri
PO1000000092	MUSIM MAS	AGRO WIRATAMA	AGROWIRATAMA	IP	0.198958	99.626589	Indonesia	Sumatera Barat	Pasaman Barat
PO1000000093	WILMAR GROUP	SAREMAS SDN BHD	SAREMAS 2	IP	3.450453	113.765561	Malaysia	Sarawak	Miri
PO1000000094	IOI CORPORATION	IOI CORPORATION BHD	GOMALI	IP	2.611826	102.678656	Malaysia	Johor	Segamat
PO1000000095	SIPEF	EASTERN SUMATERA INDONESIA	BUKIT MARADJA	IP	3.012294	99.235572	Indonesia	Sumatera Utara	Simalungun
PO1000000097	SIME DARBY	SIME DARBY PLANTATION BHD	EAST (SOU 8)	"IP, MB"	2.883333	101.436136	Malaysia	Selangor	Kuala Langat
PO1000000098	SIME DARBY	SIME DARBY PLANTATION BHD	TANAH MERAH (SOU 14)	"IP, MB"	2.655278	101.792778	Malaysia	Negeri Sembilan	Port Dickson
PO1000000099	SIPEF	TOLAN TIGA INDONESIA	PERLABIAN	IP	2.061383	100.081222	Indonesia	Sumatera Utara	Labuhanbatu Selatan
PO1000000101	SIME DARBY	SIME DARBY PLANTATION BHD	SEGALIUD (SOU 25)	Not Certificated	5.726001	117.754574	Malaysia	Sabah	Sandakan
PO1000000102	NBPOL	RAMU AGRI INDUSTRIES	GUSAP	IP	-6.073194	145.984583	Papua New Guinea	Morobe	Markham
PO1000000103	SIME DARBY	SIME DARBY PLANTATION BHD	WEST (SOU 9)	"IP, MB"	2.905	101.361306	Malaysia	Selangor	Kuala Langat
PO1000000104	SIME DARBY	SIME DARBY PLANTATION BHD	SUNGAI DINGIN (SOU 1)	"IP, MB"	5.39432	100.71117	Malaysia	Kedah	Kulim
PO1000000105	SIPEF	HARGY OIL PALM LTD	NAVO MILL	Not Certificated	-5.094109	151.224494	Papua New Guinea	West New Britain	Talasea
PO1000000106	MUSIM MAS	SUKAJADI SAWIT MEKAR	SUKAJADI SAWIT MEKAR 1	IP	-2.381111	112.539722	Indonesia	Kalimantan Tengah	Kotawaringin Timur
PO1000000107	SIME DARBY	SIME INDO AGRO	BUKIT AJONG	MB	0.268939	110.482802	Indonesia	Kalimantan Barat	Sanggau
PO1000000109	IOI CORPORATION	IOI CORPORATION BHD	PAMOL KLUANG	IP	2.110445	103.392307	Malaysia	Johor	Keluang
PO1000000110	IOI CORPORATION	IOI CORPORATION BHD	SAKILAN	IP	5.839281	117.8437	Malaysia	Sabah	Sandakan
PO1000000114	SIME DARBY	SIME DARBY PLANTATION BHD	YONG PENG (SOU 19A)	Not Certificated	2.058808	103.148394	Malaysia	Johor	Batu Pahat
PO1000000118	IOI CORPORATION	IOI CORPORATION BHD	BATURONG	IP	4.7553	118.0886	Malaysia	Sabah	Kunak
PO1000000120	IOI CORPORATION	IOI CORPORATION BHD	BUKIT LEELAU	IP	3.30273	103.137889	Malaysia	Pahang	Pekan
PO1000000122	IOI CORPORATION	IOI CORPORATION BHD	MAYVIN	IP	5.5553	117.226439	Malaysia	Sabah	Beluran
PO1000000123	DAABON GROUP	C.I. TEQUENDAMA S.A.S.	EXTRACTORA TEQUENDAMA	IP	10.5485472	-74.181286	Colombia	Magdalena	Aracataca
